Occupation,Occurrences
Labourer,1251
Clerk,456
Carman,297
Soldier,275
Porter,270
Tailor,254
Servant,231
Post Office Worker,211
Dealer,211
Painter,174
Agent,165
Shoemaker,156
Traveller,154
Butcher,151
Carpenter,146
Seaman,141
Engineer,140
Postman,127
Publican,121
Baker,116
Post Office,112
Policeman,107
Cook,96
Merchant,87
Linen-Draper,86
Pawnbroker,86
Bricklayer,81
Waiter,77
Police Constable,77
Sailor,75
Shopkeeper,72
Printer,72
Stoker,71
Grocer,67
Cheesemonger,65
Jeweller,64
Solicitor,63
Builder,62
Coster,62
Salesman,59
Barman,59
Hawker,59
Farmer,57
Fitter,55
Laundress,50
Charwoman,49
Manager,48
Draper,47
Warehouseman,45
Bootmaker,44
Errand-Boy,43
Gardener,43
Fireman,43
Accountant,42
Tobacconist,39
Fishmonger,37
Greengrocer,37
Police Officer,37
Coachman,36
Marine,32
Cabinet Maker,32
Lighterman,31
Hosier,30
Bookbinder,30
Steward,30
Tinsmith,30
Journalist,29
Blacksmith,28
Licensed Victualler,28
Hairdresser,28
Commission Agent,27
Bookseller,26
Furrier,26
Plumber,26
Broker,25
Newsvendor,25
Artist,24
Barber,24
Upholsterer,23
Cabinet-Maker,23
Constable,23
Groom,23
Musician,23
Horsekeeper,23
Surgeon,22
Boot And Shoemaker,22
Shopman,22
Plasterer,22
Baronet,22
Carrier,22
French Polisher,22
Police-Constable,22
Housekeeper,21
Milkman,21
Shop Assistant,21
Ironmonger,21
Stevedore,21
Decorator,21
Machinist,21
Errand Boy,20
Confectioner,20
Dairyman,20
Employed In The Post Office,20
Clergyman,19
Post-Office,19
Electrician,19
Factory Hand,19
Potman,18
Stationer,18
Clothier,18
Costermonger,18
Watchmaker,18
Landlord,18
Doctor,18
Auxiliary Postman,18
Canvasser,18
Flower Seller,18
Butler,17
Valet,16
Auctioneer,16
General Dealer,16
Compositor,16
Coal Porter,16
Packer,16
Nurse,15
Chemist,15
Keeps A Shop,15
Contractor,15
Joiner,15
Chauffeur,15
Fruiterer,14
Coal-Merchant,14
Domestic Servant,14
Secretary,14
Oilman,13
Railway Worker,13
Architect,13
Surveyor,13
Employed In Post Office,13
Peace Officer,13
Commercial Traveller,12
Footman,12
Hatter,12
Linendraper,12
Mason,12
Publisher,12
Stonemason,12
Dressmaker,12
Carter,11
Wheelwright,11
Apprentice,11
Ship'S Steward,11
Cashier,11
Employed Under The Post Office,11
Liftman,11
Smith,10
Waterman,10
Potboy,10
Ironer,10
Photographer,10
Stockbroker,10
Esquire,10
Sir,10
Actor,10
Ship'S Fireman,10
Reverend,9
Boot And Shoe Maker,9
Journeyman,9
Brewer,9
Cooper,9
Squire,9
Cow-Keeper,9
Ship'S Master,9
Railway Employee,9
Student,9
Flower-Seller,9
Housemaid,8
Ostler,8
Cab-Driver,8
Barrister,8
Keeps A Beer-Shop,8
Boot-Maker,8
Coffee-House Keeper,8
Mariner,8
Cab Driver,8
Green-Grocer,8
Watchman,8
Milliner,8
Bailiff,8
Miller,8
Beer-Shop Keeper,8
Lord,8
Police-Officer,8
Foreman,8
Artilleryman,8
Boot Manufacturer,8
Employed In Post-Office,8
Messenger,8
Cycle Maker,8
Scaffolder,8
Tailoress,8
Sorter,8
Assistant Postman,8
Captain,7
Shipwright,7
Silk Manufacturer,7
Saddler,7
Laundryman,7
Coal-Whipper,7
Farrier,7
Wharfinger,7
Earl,7
Cleric,7
Poulterer,7
Keeps A Beer Shop,7
Miner,7
Wine Merchant,7
Omnibus Conductor,7
Able Seaman,7
Draper'S Assistant,7
Dock Labourer,7
Furniture Dealer,7
Physician,7
Tutor,7
Company Director,7
Horse Keeper,7
Barmaid,7
Bookmaker,7
Gasfitter,7
Writer,7
Cellarman,7
Teacher,7
Attendant,7
Paperhanger,7
None,7
Coach-Maker,6
Washerwoman,6
Milk Carrier,6
Brass-Founder,6
Keeps A Public House,6
Carver And Gilder,6
Pot-Boy,6
Washer-Woman,6
Duke,6
Char-Woman,6
Letter Carrier,6
Eating-House Keeper,6
Engraver,6
Collector,6
Mechanic,6
Horse-Keeper,6
Currier,6
Medical Student,6
Grocer'S Assistant,6
Outfitter,6
Basket Maker,6
Churchwarden,6
Cabman,6
Militiaman,6
Clerk In Holy Orders,6
Engine Driver,6
Bank Employee,6
Cabdriver,6
Estate Agent,6
Billiard Marker,6
Vocalist,6
Waitress,6
Vanguard,6
Sawyer,5
Book-Keeper,5
Silversmith,5
Journeyman Butcher,5
Attorney,5
Corndealer,5
Schoolmaster,5
Pork-Butcher,5
Wine-Merchant,5
Cutler,5
Keeps A Lodging House,5
Coppersmith,5
Dentist,5
Coachmaker,5
Clothes Salesman,5
Grocer And Cheesemonger,5
Excavator,5
Grocer, Cheesemonger,5
Knight,5
Wholesale Clothier,5
Post Office Employee,5
Carpenter And Builder,5
Cutter,5
Sweep,5
Ship'S Captain,5
Trimmer,5
Pork Butcher,5
Master Of Ship,5
Needlewoman,5
Cigar Manufacturer,5
Queen,5
Tavern Keeper,5
Manufacturer,5
Coal Merchant,5
Solicitor'S Clerk,5
Carman, Contractor,5
Interpreter,5
Beerhouse Keeper,5
Employed By Midland Railway Company,5
Restaurant Keeper,5
Horse Dealer,5
Insurance Agent,5
Provision Dealer,5
Married Woman,5
Draughtsman,5
Glass Blower,5
Chef,5
Bus Conductor,5
Caretaker,5
Polisher,5
Florist,5
Police Inspector,4
Pensioner,4
Shoe-Maker,4
Hair-Dresser,4
Rope-Maker,4
Corn-Chandler,4
Coach Proprietor,4
Clicker,4
Brewer'S Servant,4
Keeps A Clothes Shop,4
Brush-Maker,4
Keeps A Coffee-House,4
Servant Of All Work,4
Woollen-Draper,4
Tailor, Draper,4
Oil And Colourman,4
Lawyer,4
Watch-Maker,4
Turner,4
Wine And Spirit Merchant,4
Dyer,4
Banker,4
Carver,4
Viscount,4
Master Carman,4
Harness-Maker,4
Tavern-Keeper,4
Peace-Officer,4
Brass Finisher,4
Customs Officer,4
Builder'S Foreman,4
Meat Salesman,4
Optician,4
Master Mariner,4
Employed By Post Office,4
Civil Engineer,4
Market Porter,4
Boarding-House Keeper,4
Fish Salesman,4
Newsagent,4
Dealer In Marine Stores,4
Forewoman,4
General Servant,4
Bank Clerk,4
Pawnbroker'S Manager,4
Manager Of Public House,4
Hotel Keeper,4
Fireman On Board Ship,4
Employed In The Post-Office,4
