Occupation,Occurrences
Labourer,1115
Clerk,361
Carman,226
Porter,222
Dealer,208
Tailor,158
Agent,156
Painter,154
Traveller,140
Postman,124
Engineer,113
Carpenter,78
Cook,74
Shoemaker,74
Servant,69
Stoker,67
Seaman,63
Coster,62
Merchant,60
Baker,59
Waiter,58
Bricklayer,57
Hawker,54
Butcher,53
Fitter,52
Barman,51
Salesman,47
Printer,46
Manager,42
Laundress,41
Fireman,41
Soldier,39
Accountant,36
Charwoman,35
Tinsmith,30
Solicitor,28
Journalist,26
Jeweller,25
Steward,25
Newsvendor,24
Barber,23
Gardener,23
Commission Agent,23
Bootmaker,23
Cabinet Maker,23
Shopkeeper,23
Greengrocer,22
Bookbinder,22
French Polisher,21
Builder,21
Musician,20
Decorator,20
Sailor,20
Machinist,20
Hairdresser,20
Fishmonger,19
Electrician,19
Factory Hand,19
Horsekeeper,18
Stevedore,18
Policeman,18
Flower Seller,18
Grocer,18
Coachman,17
Canvasser,17
Artist,17
Packer,16
Blacksmith,16
Auxiliary Postman,16
Shop Assistant,16
Police Constable,15
Chauffeur,15
Secretary,14
Warehouseman,14
Valet,14
Housekeeper,13
Confectioner,13
Milkman,12
Groom,12
Errand Boy,12
Furrier,12
Upholsterer,12
Peace Officer,12
Joiner,11
Fruiterer,11
Domestic Servant,11
Broker,11
Doctor,11
Liftman,11
Plumber,10
Publisher,10
Stonemason,10
Potman,10
Lighterman,10
Contractor,10
Licensed Victualler,10
Tobacconist,9
Flower-Seller,9
Actor,9
Dressmaker,9
Stockbroker,9
Ship'S Fireman,9
Mason,9
Architect,9
Plasterer,9
Coal Porter,9
Nurse,9
Photographer,8
Scaffolder,8
Butler,8
Bookseller,8
Compositor,8
Farmer,8
Student,8
Stationer,8
Police Officer,8
Tailoress,8
Sorter,8
Assistant Postman,8
Gasfitter,7
Writer,7
Ship'S Steward,7
Cellarman,7
Cashier,7
Cycle Maker,7
Dairyman,7
Surveyor,7
Teacher,7
Attendant,7
Publican,7
Paperhanger,7
Ironer,7
Police-Constable,7
None,7
Waitress,6
Miner,6
Messenger,6
Bookmaker,6
Chemist,6
Vanguard,6
Clergyman,6
Costermonger,6
Footman,6
Commercial Traveller,6
Cabinet-Maker,5
Married Woman,5
Draughtsman,5
Estate Agent,5
General Dealer,5
Grocer'S Assistant,5
Laundryman,5
Glass Blower,5
Basket Maker,5
Chef,5
Bus Conductor,5
Caretaker,5
Polisher,5
Cabdriver,5
Draper,5
Hosier,5
Billiard Marker,5
Vocalist,5
Florist,5
Milk Carrier,5
Sir,5
Riveter,4
Insurance Agent,4
Cabman,4
Midwife,4
Ostler,4
Foreman,4
Auctioneer,4
Provision Dealer,4
Physician,4
Watchman,4
Stickmaker,4
Draper'S Assistant,4
Company Promoter,4
Medical Practitioner,4
Wheelwright,4
Bookkeeper,4
Mechanic,4
Caterer,4
Interpreter,4
Cheesemonger,4
Ship Steward,4
Financier,4
Engine Cleaner,4
Watchmaker,4
Tailor'S Cutter,4
Tailor'S Presser,4
Trimmer,4
Dock Labourer,4
Saddler,3
Cigarette Maker,3
Engine Driver,3
Slater,3
Piano Maker,3
Jockey,3
Basketmaker,3
Printer'S Labourer,3
Motor Driver,3
Shipwright,3
Cabinetmaker,3
Fish Porter,3
Glass Beveller,3
Collector,3
Sawyer,3
Hatmaker,3
Wireworker,3
Provision Merchant,3
Clothier,3
Post Office Sorter,3
Farrier,3
Jobmaster,3
Pugilist,3
Kitchen Porter,3
Needlewoman,3
Pawnbroker,3
Van Boy,3
Boot Repairer,3
House Decorator,3
Insurance Manager,3
Correspondent,3
Car-Man,3
