Occupation,Occurrences,class,skilled
Labourer,1115,w,n
Clerk,361,w,y
Carman,226,w,n
Porter,222,w,n
Dealer,208,w,
Tailor,158,w,y
Agent,156,w,y
Painter,154,w,y
Traveller,140,w,
Postman,124,w,n
Engineer,113,w,y
Carpenter,78,w,y
Cook,74,w,n
Shoemaker,74,w,
Servant,69,w,n
Stoker,67,w,n
Seaman,63,w,n
Coster,62,w,n
Merchant,60,,
Baker,59,w,y
Waiter,58,w,n
Bricklayer,57,w,n
Hawker,54,w,n
Butcher,53,w,y
Fitter,52,w,n
Barman,51,w,n
Salesman,47,w,
Printer,46,w,
Manager,42,,
Laundress,41,w,n
Fireman,41,w,n
Soldier,39,w,
Accountant,36,m,
Charwoman,35,w,n
Tinsmith,30,w,y
Solicitor,28,m,
Journalist,26,w,y
Jeweller,25,w,y
Steward,25,w,n
Newsvendor,24,w,n
Barber,23,w,
Gardener,23,w,n
Commission Agent,23,w,n
Bootmaker,23,w,y
Cabinet Maker,23,w,y
Shopkeeper,23,w,y
Greengrocer,22,w,n
Bookbinder,22,w,
French Polisher,21,w,
Builder,21,w,
Musician,20,w,
Decorator,20,w,y
Sailor,20,w,n
Machinist,20,w,
Hairdresser,20,w,
Fishmonger,19,w,
Electrician,19,w,y
Factory Hand,19,w,n
Horsekeeper,18,w,y
Stevedore,18,w,
Policeman,18,w,
Flower Seller,18,w,n
Grocer,18,w,n
Coachman,17,w,
Canvasser,17,w,
Artist,17,w,y
Packer,16,w,n
Blacksmith,16,w,y
Auxiliary Postman,16,w,
Shop Assistant,16,w,
Police Constable,15,w,
Chauffeur,15,w,n
Secretary,14,w,
Warehouseman,14,w,n
Valet,14,w,n
Housekeeper,13,w,
Confectioner,13,w,
Milkman,12,w,n
Groom,12,w,
Errand Boy,12,w,n
Furrier,12,w,
Upholsterer,12,w,
Peace Officer,12,w,
Joiner,11,w,
Fruiterer,11,w,y
Domestic Servant,11,w,n
Broker,11,,
Doctor,11,m,
Liftman,11,w,n
Plumber,10,w,y
Publisher,10,w,y
Stonemason,10,w,y
Potman,10,w,
Lighterman,10,w,
Contractor,10,w,
Licensed Victualler,10,w,
Tobacconist,9,w,
Flower-Seller,9,w,
Actor,9,,
Dressmaker,9,w,y
Stockbroker,9,m,
Ship'S Fireman,9,w,n
Mason,9,w,y
Architect,9,w,y
Plasterer,9,w,
Coal Porter,9,w,
Nurse,9,w,y
Photographer,8,w,y
Scaffolder,8,w,
Butler,8,w,n
Bookseller,8,w,
