Confined Three Months,6460,,3
Confined Twelve Months,4483,,12
Confined One Year,2546,,12
Twelve Months' Hard Labour.,2334,,12
Confined Nine Months,2310,,9
Confined Four Months,2201,,4
Five Years' Penal Servitude.,2177,,60
Confined One Month,2168,,1
Eighteen Months' Hard Labour.,1615,,18
Confined Eighteen Months,1484,,18
Six Months' Hard Labour.,1450,,6
Confined Two Months,1371,,2
Nine Months' Hard Labour.,1236,,9
Twelve Months' Imprisonment.,1154,,12
Seven Years' Penal Servitude.,1131,,84
Confined Two Years,921,,24
Three Years' Penal Servitude.,844,,36
Eighteen Months' Imprisonment.,829,,18
Five Years' Penal Servitude,668,,60
Fifteen Months' Hard Labour.,627,,15
Four Years' Penal Servitude.,592,,48
Ten Years' Penal Servitude.,582,,120
Nine Months' Imprisonment.,525,,9
Six Months' Hard Labour,501,,6
Nine Months' Hard Labour,489,,9
Six Months' Imprisonment.,488,,6
Seven Years' Penal Servitude,462,,84
Four Months' Hard Labour.,457,,4
Three Months' Hard Labour.,424,,3
Three Years' Penal Servitude,422,,36
Four Years Penal Servitude.,401,,48
Confined Fourteen Days,391,,1
Twelve Months' Hard Labour,374,,12
Two Years' Imprisonment.,352,,24
Six Years' Penal Servitude.,350,,72
Twelve Months' Imprisonment,332,,
Eighteen Months' Hard Labour,326,,
Confined Six Weeks,321,,
18 Months' Hard Labour,313,,
12 Months' Hard Labour,292,,
Two Years' Hard Labour.,276,,
Eight Months' Hard Labour.,272,,
Eighteen Months' Imprisonment,265,,
Twelve Months' Hard Labour Each,252,,
Confined Eight Months,247,,
Eighteen Months' Hard Labour Each,245,,
Confined Seven Days,243,,
Five Years' Penal Servitude Each,242,,
Confined Ten Days,233,,
Confined Twelve Months Each,224,,
Twelve Months' Imprisonment Each,203,,
Nine Months' Imprisonment,198,,
Six Months' Imprisonment,196,,
Four Months' Imprisonment.,195,,
Four Years' Penal Servitude,195,,
Ten Months' Hard Labour.,187,,
Confined Six Days,182,,
Fifteen Months' Imprisonment.,181,,
Confined Twelve Months.,169,,
Confined Fifteen Months,162,,
Twenty Months' Hard Labour.,161,,
Three Months' Imprisonment.,161,,
Ten Years' Penal Servitude,156,,
Confined Eight Days,153,,
Three Months' Hard Labour,152,,
Nine Months' Hard Labour Each,148,,
Eight Years' Penal Servitude.,143,,
Six Years Penal Servitude.,142,,
Two Months' Hard Labour.,141,,
Six Months' Hard Labour Each,141,,
Confined Six Months.,139,,
Seven Years' Penal Servitude Each,133,,
Confined Eighteen Months.,129,,
Confined One Week,128,,
Confined Four Days,122,,
Confined Five Days,117,,
Five Years Penal Servitude.,116,,
Confined Three Days,116,,
Confined Eighteen Months Each,113,,
Confined Nine Months Each,112,,
Eighteen Months' Imprisonment Each,109,,
One Month'S Hard Labour.,108,,
Confined Nine Months.,108,,
Four Months' Hard Labour,104,,
Confined Six Month,102,,
Fifteen Years' Penal Servitude.,97,,
Nine Months' Imprisonment Each,96,,
Fifteen Months' Hard Labour,96,,
15 Months' Hard Labour,95,,
One Month'S Imprisonment.,94,,
Eight Months' Imprisonment.,94,,
Two Days' Imprisonment.,86,,
Two Years' Hard Labour,83,,
Two Years' Imprisonment,83,,
Three Months' Imprisonment,83,,
Twelve Months Hard Labour.,81,,
Three Days' Imprisonment.,80,,
Confined Three Month,75,,
Twelve Months' Hard Labour Each.,73,,
Two Months' Imprisonment.,73,,
Four Months' Imprisonment,73,,
Confined Three Months; Three Weeks Solitary,73,,
Confined Three Months.,73,,
Confined Six Months Each,72,,
Confined Two Days,70,,
Penal Servitude For Life,68,,
20 Months' Hard Labour,66,,
Three Years Penal Servitude.,65,,
Five Years' Penal Servitude Each.,65,,
Fifteen Months' Hard Labour Each,65,,
Six Years' Penal Servitude,64,,
Two Years' Imprisonment Each,63,,
One Day'S Imprisonment.,62,,
Eighteen Months' Hard Labour Each.,62,,
Six Months Hard Labour.,61,,
Confined,61,,
Eight Months' Hard Labour,60,,
Confined Twelve Month,60,,
Twenty Years' Penal Servitude.,57,,
Seven Years Penal Servitude.,56,,
Twelve Years' Penal Servitude.,55,,
Confined Three Weeks,55,,
Six Weeks' Hard Labour.,53,,
Ten Years' Penal Servitude Each,52,,
Confined Nine Days,52,,
Six Months' Imprisonment Each,50,,
One Month'S Imprisonment,50,,
Eighteen Months Hard Labour.,49,,
Two Months' Hard Labour,48,,
Four Years Penal Servitude,48,,
Confined One Day,48,,
Ten Years Penal Servitude.,47,,
Confined For Six Months,47,,
Confined For Three Months,46,,
Confined Six Months; Three Weeks Solitary,46,,
12 Months' Hard Labour.,46,,
Four Months' Hard Labour Each,45,,
Fourteen Years' Penal Servitude.,45,,
Confined Three Months Each,45,,
Three Years' Penal Servitude Each,44,,
Nine Months Hard Labour.,44,,
"Six Months' Imprisonment, Second Division.",43,,
Six Months In The Second Division.,43,,
One Month'S Hard Labour,43,,
Four Days' Imprisonment.,43,,
Confined Four Months.,43,,
Two Years' Hard Labour Each,42,,
Six Months' Hard Labour Each.,42,,
Five Years' Preventive Detention.,42,,
To Be Detained During His Majesty'S Pleasure.,41,,
Nine Months' Hard Labour Each.,41,,
Fifteen Months' Imprisonment,40,,
Three Months' Hard Labour Each,39,,
Fourteen Months' Hard Labour.,39,,
Confined Two Years Each,38,,
Two Days' Imprisonment,37,,
Three Years In A Reformatory,37,,
Three Days' Imprisonment,37,,
Ten Months' Hard Labour,36,,
Four Year'S Penal Servitude.,36,,
Five Months' Hard Labour.,36,,
Fifteen Years' Penal Servitude,36,,
Confined Three Years,36,,
Two Months' Imprisonment,34,,
Five Years' Each In Penal Servitude.,34,,
Twelve Months Imprisonment.,33,,
Five Years' Penal Servitude;,33,,
Eighteen Months' Imprisonment Each.,33,,
Three Months In The Second Division.,32,,
Five Days' Imprisonment.,31,,
Eighteen Months Imprisonment.,31,,
Confined One Month; One Week Solitary,31,,
Twelve Months' Imprisonment Each.,30,,
Twenty Months' Hard Labour,30,,
"Seven Years' Penal Servitude,",30,,
Eight Years' Penal Servitude,30,,
"Eighteen Months' Hard Labour,",30,,
Confined For One Year,30,,
Confined Eighteen Month,30,,
Confined Five Months,30,,
Twelve Months' Hard Labour;,29,,
18 Months' Hard Labour.,29,,
To Be Detained During Her Majesty'S Pleasure.,28,,
Seven Years' Penal Servitude Each.,28,,
Twelve Month'S Hard Labour.,27,,
Fifteen Months' Imprisonment Each,27,,
Eight Months' Imprisonment,27,,
Confined Nine Month,27,,
Confined Six Months; Six Weeks Solitary,27,,
Confined Four Months Each,27,,
Five Months' Hard Labour,26,,
Fifteen Months' Hard Labour Each.,26,,
Confined One Months,26,,
Confined One Year.,26,,
Twelve Month'S Imprisonment.,25,,
One Month Hard Labour.,25,,
Five Years Each In Penal Servitude.,25,,
"Four Months' Imprisonment, Second Division.",25,,
Three Years In A Reformatory.,24,,
"Three Months' Imprisonment, Second Division.",24,,
Five Year'S Penal Servitude.,24,,
Four Years' Penal Servitude Each,24,,
Five Years Penal Servitude,24,,
Eight Years Penal Servitude.,24,,
Confined Four Month,24,,
Twelve Month' Hard Labour.,23,,
Six Month'S Hard Labour.,23,,
"Five Years' Penal Servitude,",23,,
Five Years' Preventive Detention,23,,
"Confined Six Months,",23,,
"Three Months' Imprisonment, Second Division",22,,
Six Month' Hard Labour.,22,,
One Week'S Imprisonment.,22,,
Confined One Month.,22,,
Twenty Months' Hard Labour Each,21,,
Three Years' Penal Servitude;,21,,
Prisoner Was Ordered To Be Detained During His Majesty'S Pleasure.,21,,
One Month Without Hard Labour.,21,,
One Day'S Imprisonment,21,,
Four Months' Imprisonment Each,21,,
Eighteen Month'S Hard Labour.,21,,
Twelve Months In The Second Division.,20,,
Three Months' Hard Labour Each.,20,,
Ten Months' Hard Labour Each,20,,
Fifteen Months Hard Labour.,20,,
Fifteen Years' Penal Servitude Each,20,,
